,PLS1_loading
Hydrophobicity,0.5841257812731712
Hydrophobic  density,0.5145985426126282
RK_Hydrophobic ratio Log1p,-0.4953306161054321
STRK_ratio Log1p,0.3048347269762399
Length,-0.27038344705032813
Hydrophobic_ moment,-0.09500073419274563
Netcharge,0.06200315775686053
