,0
phil_S_T,0.12938424433854515
phob_L_I,0.09876560596658937
phil_D_E,0.06418168885371817
phob_S_T,0.06310853544433134
phob_F_W,0.05973861328273346
phil_R_K,0.05674152219231231
phob_V,0.05413882765326537
phil_H,0.04457638479349489
phob_M_C,0.043742845723110525
phil_N_Q,0.04014810755179315
phil_L_I,0.03442033166620204
phil_Y,0.03163510293042028
phil_G,0.029398787599881716
phob_Y,0.028679210712050728
phil_A,0.02726591791389049
phob_R_K,0.022840269741642747
phob_G,0.02268875068186714
phil_M_C,0.021287806344266625
phil_F_W,0.021136050382244656
phob_A,0.02090672100949333
phob_D_E,0.020895635789446438
phob_N_Q,0.018648588531120374
phil_P,0.013104379267050856
phob_P,0.012299425024891059
phob_H,0.012263193160842704
