,0
phil_S_T,0.12921209167986178
phob_L_I,0.10645758937946591
phob_F_W,0.0738241860327231
phil_N_Q,0.05803249611094302
phob_S_T,0.04881854994838357
phil_D_E,0.04746943780709877
phil_R_K,0.045047829882533016
phob_V,0.041260304776160286
phob_M_C,0.0404137586356832
phil_L_I,0.03845464152332367
phil_A,0.035176773858510764
phil_H,0.033845202713119325
phob_Y,0.03358278827888324
phob_D_E,0.031487361241756176
phob_A,0.028337444749703757
phob_G,0.026775922017576944
phil_Y,0.02582460219466057
phil_G,0.02535531117585009
phil_M_C,0.020528826734022808
phil_F_W,0.01827329697044254
phob_R_K,0.017821640910157782
phob_H,0.016778199711812748
phil_P,0.016340295350917692
phob_N_Q,0.016121335777715923
phob_P,0.013921644594026474
phil_V,0.010838467944666889
